from_id,to_id
district_cooling_cooling,electricity
district_heating_heating,natural_gas
district_heating_water_systems,natural_gas
electricity_bath_fan,electricity
electricity_ceiling_fan,electricity
electricity_clothes_dryer,electricity
electricity_clothes_washer,electricity
electricity_cooking_range,electricity
electricity_cooling,electricity
electricity_dishwasher,electricity
electricity_ev_dcfc,electricity
electricity_ev_l1l2,electricity
electricity_exterior_holiday_lighting,electricity
electricity_exterior_lighting,electricity
electricity_extra_refrigerator,electricity
electricity_fans,electricity
electricity_fans_cooling,electricity
electricity_fans_heating,electricity
electricity_freezer,electricity
electricity_garage_lighting,electricity
electricity_heat_recovery,electricity
electricity_heat_rejection,electricity
electricity_heating,electricity
electricity_heating_supplemental,electricity
electricity_hot_tub_heater,electricity
electricity_hot_tub_pump,electricity
electricity_house_fan,electricity
electricity_interior_equipment,electricity
electricity_interior_lighting,electricity
electricity_plug_loads,electricity
electricity_pool_heater,electricity
electricity_pool_pump,electricity
electricity_pumps,electricity
electricity_pumps_cooling,electricity
electricity_pumps_heating,electricity
electricity_range_fan,electricity
electricity_recirc_pump,electricity
electricity_refrigeration,electricity
electricity_refrigerator,electricity
electricity_water_systems,electricity
electricity_well_pump,electricity
fuel_oil_heating,fuel_oil
fuel_oil_water_systems,fuel_oil
natural_gas_clothes_dryer,natural_gas
natural_gas_cooking_range,natural_gas
natural_gas_fireplace,natural_gas
natural_gas_grill,natural_gas
natural_gas_heating,natural_gas
natural_gas_hot_tub_heater,natural_gas
natural_gas_interior_equipment,natural_gas
natural_gas_lighting,natural_gas
natural_gas_pool_heater,natural_gas
natural_gas_water_systems,natural_gas
propane_clothes_dryer,propane
propane_cooking_range,propane
propane_heating,propane
propane_water_systems,propane
wood_heating,wood
